,id,proper,dist,ci,lum,Teff
0,0,Sol,0.0,0.6559999999999999,1.0,5756.588112693915
676,676,Alpheratz,29.7442,-0.038,114.49855346901884,10625.406633713012
744,744,Caph,16.7842,0.38,30.06076302628229,6988.564781536702
1065,1065,Algenib,120.048,-0.19,926.4031007363994,13348.432762651251
2076,2076,Ankaa,25.974,1.083,64.44659847416881,4551.904315057614
3172,3172,Shedir,69.979,1.17,542.0008904016238,4368.44640044032
3413,3413,Diphda,29.5334,1.0190000000000001,116.0913870126182,4697.578024064494
3759,3759,96 G. Psc,7.4549,0.89,0.24479356661960655,5023.375177795588
3820,3820,Van Maanen's Star,4.2626,0.5539999999999999,0.00017831997722329162,6153.69897221909
4417,4417,Cih,168.3502,-0.046,3407.218616593573,10737.848625196282
5436,5436,Mirach,60.5327,1.5759999999999998,474.2419852602448,3682.6626572128844
6672,6672,Ruchbah,30.4785,0.16,69.82324040771711,8486.084510400658
7574,7574,Achernar,42.7533,-0.158,1051.9618738232234,12650.440077321337
8884,8884,Sheratan,17.9856,0.165,24.77422057633285,8444.162842364198
9618,9618,Almaak,120.4819,1.37,1828.1002161427425,4000.132098949701
9861,9861,Hamal,20.1776,1.151,55.667279815094794,4407.175670342634
10800,10800,Mira,91.659,0.966,18.897310544316767,4825.882104517954
11734,11734,Polaris,132.626,0.636,2495.7437948315687,5830.070651083036
12082,12082,268 G. Cet,7.1803,0.9179999999999999,0.21697015538008516,4948.653237147685
13813,13813,Acamar,49.4315,0.128,149.96848355023727,8765.677098375048
14100,14100,Menkar,76.3942,1.63,489.778819368446,3607.90050634042
14540,14540,Algol,27.571,-0.003,96.56060985415495,10162.813196598341
15471,15471,82 G. Eri,6.0434,0.711,0.6286370884130494,5564.3560117586
15824,15824,Mirphak,155.2795,0.48100000000000004,4040.1733537300065,6476.334733465545
17661,17661,Alcyone,123.6094,-0.086,963.8290236239707,11342.623636561362
18497,18497,Zaurak,62.3441,1.588,219.5836500973188,3665.772322379158
21368,21368,Aldebaran,20.4332,1.538,163.23000728189953,3737.231177293504
22961,22961,Hassaleh,151.2859,1.49,1673.4009068393125,3808.609875061861
23820,23820,Cursa,27.3973,0.161,50.535899475316754,8477.663471915403
24129,24129,Kapteyn's Star,3.9114,1.5430000000000001,0.0038089037649813523,3729.9553432145362
24378,24378,Rigel,264.5503,-0.03,51665.42425669497,10515.561781448858
24549,24549,Capella,13.1234,0.795,139.3156802945302,5295.7915839616435
25273,25273,Bellatrix,77.3994,-0.22399999999999998,1152.3913771994878,14192.406078472375
25364,25364,Alnath,41.0509,-0.13,321.2180933987985,12103.301413538873
25542,25542,Nihal,49.1642,0.807,158.1976398601154,5259.658008992496
25865,25865,Mintaka,212.3142,-0.175,4943.106869868354,13010.740358521576
25920,25920,Arneb,680.2721,0.21100000000000002,37428.291224080516,8078.841098789417
26176,26176,Hatsya,714.2857,-0.21,35285.8025828527,13830.709095337626
26246,26246,Alnilam,606.0606,-0.184,67483.87308707573,13211.014566512751
26569,26569,Phakt,80.1282,-0.12,487.0796664925368,11920.497361578673
26662,26662,Alnitak,225.7336,-0.19899999999999998,8937.169608501978,13560.703668732238
27298,27298,Saiph,198.4127,-0.168,5095.6548060811465,12859.619949881899
27919,27919,Betelgeuse,152.6718,1.5,13415.28798266127,3793.5064935064934
28288,28288,Menkalinan,24.8694,0.077,93.58365435835303,9256.197872384579
30016,30016,Red Rectangle,440.5286,0.344,48.75284901033863,7193.213822764694
30251,30251,Mirzam,151.0574,-0.24,3209.2237680484363,14632.83516736014
30365,30365,Canopus,94.7867,0.16399999999999998,13854.791675667217,8452.510597362243
31601,31601,Alhena,33.5121,0.001,165.34840121711517,10112.78057086534
32263,32263,Sirius,2.6371,0.009000000000000001,22.824433121735034,10014.343360926072
33492,33492,Adhara,124.2236,-0.21100000000000002,3375.981048554255,13855.85692027517
34354,34354,Wezen,492.6108,0.6709999999999999,39192.2322454977,5702.764173000684
35806,35806,Aludra,609.7561,-0.083,33915.6386905822,11294.622214306975
36087,36087,Gomeisa,49.5786,-0.09699999999999999,149.4169957406701,11522.612174029493
36107,36107,Luyten's Star,3.8026,1.5730000000000002,0.0014588142602753474,3686.9105089744717
36744,36744,Castor,15.5958,0.034,49.43106869868354,9720.008041122586
37173,37173,Procyon,3.5142,0.43200000000000005,7.4404636619191935,6714.300868841005
37718,37718,Pollux,10.3584,0.991,32.09223768048434,4764.451255939726
39318,39318,Naos,332.2259,-0.26899999999999996,12554.51673687138,15515.240213057565
40921,40921,Avior,185.5288,1.196,5405.053537086696,4316.590540162757
45106,45106,Miaplacidus,34.6981,0.07,225.32013356294826,9328.33423057308
45425,45425,Tureis,234.7418,0.18899999999999997,6269.024974761645,8249.126265479448
46259,46259,Alphard,55.2792,1.44,425.79445358259665,3886.043480299591
47772,47772,Ras Elased Australis,75.643,0.8079999999999999,323.29575336809415,5256.670529463656
49528,49528,Regulus,24.3132,-0.087,147.09570767969763,11358.725852468784
50440,50440,Algieba,39.8883,1.128,217.5704950925793,4455.034400111444
53754,53754,Merak,24.4499,0.033,60.31148196178175,9731.412063097674
53879,53879,Lalande 21185,2.5469,1.5019999999999998,0.005701642722807466,3790.5007464777914
53905,53905,Dubhe,37.679,1.061,233.3458062281002,4600.895299436185
54712,54712,Zosma,17.9147,0.128,26.448436268543606,8765.677098375048
57459,57459,Denebola,10.9999,0.09,14.682499678319864,9125.458485299803
57767,57767,Groombridge 1830,9.0917,0.754,0.19462561593612399,5423.341002223176
57828,57828,Phad,25.5037,0.044000000000000004,61.546023737131634,9607.580854466236
59592,59592,Megrez,24.6853,0.077,24.934461880978304,9256.197872384579
59621,59621,Gienah Ghurab,47.1032,-0.107,179.47336268325265,11691.894367252991
60530,60530,Acrux,98.7167,-0.243,4176.379929509739,14718.871489895024
60776,60776,Algorab,26.6312,-0.012,41.19077848677376,10277.431856562813
60893,60893,Gacrux,27.1518,1.6,148.45676750522713,3649.041927573727
61166,61166,Kraz,44.6628,0.893,151.35612484362068,5015.2550582086915
61748,61748,Porrima,11.685,0.368,9.532350439205148,7055.3597447423
62239,62239,Becrux,85.3971,-0.23800000000000002,2008.1678041839857,14576.103104218777
62757,62757,Alioth,25.31,-0.022000000000000002,110.25543321022239,10408.221010936166
62925,62925,Cor Caroli,35.1989,-0.115,75.37025766884257,11831.395225428469
63405,63405,Vindemiatrix,33.6022,0.934,71.25248247522671,4907.0014099217815
65173,65173,Mizar,26.3089,0.057,77.33925780489973,9465.670578721032
65269,65269,Spica,76.5697,-0.235,2070.1413487910413,14491.926375934887
65272,65272,Alcor,25.0564,0.16899999999999998,13.867558288718884,8410.95283905917
67088,67088,Alkaid,31.8674,-0.099,160.99040762157054,11556.028141673281
67711,67711,Mufrid,11.396,0.58,9.585173976856456,6046.972924424451
68483,68483,Hadar,120.1923,-0.231,7171.334826577209,14381.376168940358
68537,68537,Thuban,92.9368,-0.049,256.09435171567696,10780.703752584219
68714,68714,Menkent,18.0343,1.011,42.46195639463128,4716.48182136663
69451,69451,Arcturus,11.2575,1.239,115.55799554021291,4233.601329819582
70666,70666,Proxima Centauri,1.2959,1.807,5.7703213533292935e-05,3383.4411930897154
71456,71456,Rigil Kentaurus,1.3248,0.71,1.543121065657792,5567.728737397792
71879,71879,Izar,62.1118,0.966,385.83355990535125,4825.882104517954
72380,72380,Kochab,40.1445,1.465,208.54510476931682,3846.921324791843
72396,72396,Zubenelgenubi,23.2396,0.147,37.35940922587999,8597.263255649295
74556,74556,Zubeneschemali,56.7537,-0.071,253.51286304979072,11107.076289168624
76035,76035,Alphekka,23.0097,0.032,59.703528658383654,9742.845895645392
76835,76835,Unukalhai,22.6757,1.167,39.73745050614631,4374.51400876153
78165,78165,Dschubba,150.6024,-0.11699999999999999,2396.624529408638,11866.85629125385
78580,78580,Graffias,123.9157,-0.065,1265.9017493002452,11015.889120373988
80519,80519,Antares,169.7793,1.865,9453.660459579653,3316.0297517104714
80571,80571,Kornephoros,42.6621,0.9470000000000001,122.4616199265049,4873.701288598328
82022,82022,Atria,119.7605,1.4469999999999998,2151.7905703397573,3875.0060259928955
84086,84086,Rasalgethi,110.2536,1.1640000000000001,818.0879579457477,4380.599327414104
85410,85410,Rastaban,116.5501,0.9540000000000001,906.149802231998,4855.967573618857
85665,85665,Shaula,175.1313,-0.231,6008.9695048348585,14381.376168940358
85769,85769,Rasalhague,14.8965,0.155,28.444611074479155,8528.468179819454
85965,85965,Sargas,92.081,0.406,1331.6803762699813,6848.452201524804
86475,86475,Cebalrai,25.0941,1.168,43.17178444709226,4372.489508804793
87561,87561,Etamin,47.3037,1.521,247.51413180743143,3762.1911058634637
87665,87665,Barnard's Star,1.8238,1.57,0.00044258837236262646,3691.1685428724395
88361,88361,Nash,29.7,0.981,49.38556196176077,4788.824417615377
89653,89653,Kaus Meridionalis,106.6098,1.38,808.3510373900685,3983.407818476451
89906,89906,Kaus Australis,43.9367,-0.031,323.29575336809415,10529.153581692834
90217,90217,Kaus Borealis,23.9693,1.025,37.256323846660365,4683.504683722548
90979,90979,Vega,7.6787,-0.001,49.934418872134984,10137.728070417896
92133,92133,Sheliak,294.9853,0.003,2962.1019360527675,10087.96951375046
92564,92564,Nunki,69.8324,-0.134,642.6877173170193,12178.199404655503
93846,93846,Albaldah,156.25,0.377,1498.3042106226599,7005.134245240463
95648,95648,Albireo,133.1558,1.088,930.6791831626532,4540.922656754363
96970,96970,Tarazed,121.0654,1.507,1042.3174293933046,3783.007993818231
97338,97338,Altair,5.1295,0.221,11.376272858234305,8003.964554293967
97725,97725,Alshain,13.6986,0.855,5.360434578161428,5120.2127178157225
97987,97987,Cygnus X-1,595.2381,0.73,89.78421709097269,5501.092963336511
100128,100128,Sadr,561.7978,0.6729999999999999,35253.318119588555,5695.66890622678
100425,100425,Peacock,54.8246,-0.11800000000000001,438.53069777498564,11884.676402139527
101767,101767,Deneb,432.9004,0.092,51617.86054966733,9105.706876090442
102157,102157,Gienah,22.2916,1.021,44.096081645063784,4692.877012131002
104751,104751,Lacaille 8760,3.9462,1.3969999999999998,0.028602236939542808,3955.308620438549
104861,104861,Alderamin,15.0376,0.257,20.62528697846573,7746.564117880623
105936,105936,Sadalsuud,164.7446,0.828,1635.3096517445822,5197.669368163536
106972,106972,Enif,211.4165,1.52,4349.106072324538,3763.6701294642344
108728,108728,Sadalmelik,160.5136,0.9690000000000001,1483.2009671818741,4818.422168812224
108922,108922,Alnair,30.9693,-0.07,169.82436524617444,11091.76122843408
110547,110547,Kruger 60,4.001,1.6130000000000002,0.002034229743211725,3631.0951208380015
111804,111804,Matar,65.703,0.852,253.04630494613968,5128.697833958958
113008,113008,Fomalhaut,7.7036,0.145,17.587333541355722,8614.654039609362
113521,113521,Scheat,60.0962,1.655,332.35330357747745,3574.3431519235914
113603,113603,Markab,40.8831,-0.002,146.96028989796503,10150.253355623077
113687,113687,Lacaille 9352,3.2759,1.483,0.010734949358052354,3819.256869232744
118084,118084,p Eridani,8.1466,0.86,0.27669416454115103,5106.136867078238
